Gene Model ID	Gene Symbol	Full Name	Source	Chromosome	Start	End
GRMZM2G144744	d8	dwarf plant8	Classical Gene	Chr1	266,160,101	266,163,168
GRMZM2G024973	d9	dwarf plant9	Classical Gene	Chr5	11,793,473	11,795,945
GRMZM2G124037	dbf3	DRE-binding protein3	Classical Gene	Chr2	195,129,909	195,130,993
GRMZM2G083459	dcd1	discordia1	Classical Gene	Chr10	90,776,034	90,781,199
GRMZM2G321753	dek1	defective kernel1	Classical Gene	Chr1	47,296,057	47,325,628
GRMZM2G079440	dhn1	dehydrin1	Classical Gene	Chr6	137,332,062	137,333,893
GRMZM2G067921	dlf1	delayed flowering1	Classical Gene	Chr7	175,583,965	175,585,451
GRMZM2G009406	dof2	DNA binding with one finger2	Classical Gene	Chr2	189,176,444	189,178,274
GRMZM2G141399	du1	dull endosperm1	Classical Gene	Chr10	59,516,234	59,527,812
GRMZM2G100018	dzs18	delta zein structural18	Classical Gene	Chr6	121,573,176	121,574,010
GRMZM2G456746	ea1	egg apparatus1	Classical Gene	Chr7	164,503,140	164,503,655
GRMZM2G165917	eif5	eucaryotic translation initiation factor5	Classical Gene	Chr4	238,064,651	238,068,549
GRMZM2G113696	eif5a	elongation initiation factor5A	Classical Gene	Chr2	209,954,275	209,957,586
GRMZM2G122871	elfg1	elongation factor gamma1	Classical Gene	Chr6	104,230,611	104,235,309
GRMZM5G861678	elm1	elongated mesocotyl1	Classical Gene	Chr8	158,299,004	158,303,170
GRMZM2G039155	emp2	empty pericarp 2	Classical Gene	Chr2	178,295,993	178,300,823
GRMZM2G092198	emp4	empty pericarp4	Classical Gene	Chr1	272,101,204	272,103,668
GRMZM2G064302	eno1	enolase1	Classical Gene	Chr9	22,112,240	22,116,928
GRMZM2G157574	et1	etched1	Classical Gene	Chr3	223,825,954	223,827,718
GRMZM2G339122	expa1	alpha expansin1	Classical Gene	Chr3	184,419,336	184,421,693
GRMZM2G053458	fdx3	ferredoxin3	Classical Gene	Chr1	296,097,227	296,102,118
GRMZM2G104925	fea2	fasciated ear2	Classical Gene	Chr4	133,689,783	133,692,271
GRMZM2G325575	fer1	ferritin1	Classical Gene	Chr4	183,760,831	183,763,850
GRMZM2G147266	fer2	ferritin homolog2	Classical Gene	Chr10	1,279,030	1,283,646
GRMZM2G036609	fgs1	ferredoxin-dependent glutamate synthase1	Classical Gene	Chr7	171,002,271	171,021,085
GRMZM2G062396	fht1	flavanone 3-hydroxylase1	Classical Gene	Chr2	3,561,475	3,563,418
GRMZM2G118205	fie1	fertilization independent endosperm1	Classical Gene	Chr4	35,790,694	35,796,700
GRMZM2G148924	fie2	fertilization independent endosperm2	Classical Gene	Chr10	84,106,322	84,110,776
GRMZM2G397687	fl2	floury2	Classical Gene	Chr4	21,334,901	21,335,970
GRMZM2G168681	fps1	farnesyl pyrophosphate synthase1	Classical Gene	Chr8	62,786,955	62,791,232
GRMZM2G087804	g2	golden plant2	Classical Gene	Chr3	1,464,299	1,469,099
GRMZM2G178415	gdh1	glutamic dehydrogenase1	Classical Gene	Chr1	287,360,596	287,367,735
GRMZM2G114642	gl1	glossy1	Classical Gene	Chr7	118,550,916	118,556,690
GRMZM2G160730	gl15	glossy15	Classical Gene	Chr9	96,744,684	96,748,035
GRMZM2G098239	gl2	glossy2	Classical Gene	Chr2	10,630,672	10,633,711
AC205703.4_FG006	gl8	glossy8	Classical Gene	Chr5	181,248,005	181,251,026
GRMZM2G067919	glb1	globulin1	Classical Gene	Chr1	258,423,143	258,426,448
GRMZM2G026703	glb2	globulin2	Classical Gene	Chr1	287,133,859	287,135,934
GRMZM2G098290	gln1	glutamine synthetase1	Classical Gene	Chr10	145,900,776	145,906,241
GRMZM2G024104	gln2	glutamine synthetase2	Classical Gene	Chr1	267,960,169	267,963,551
GRMZM2G046601	gln3	glutamine synthetase3	Classical Gene	Chr9	146,319,631	146,327,940
GRMZM2G050514	gln3	glutamine synthetase3	Classical Gene	Chr1	27,978,351	27,982,007
GRMZM5G872068	gln4	glutamine synthetase4	Classical Gene	Chr5	205,293,914	205,297,428
GRMZM2G036464	gln5	glutamine synthetase5	Classical Gene	Chr4	167,111,248	167,114,579
GRMZM2G050514	gln6	glutamine synthetase6	Classical Gene	Chr1	27,978,351	27,982,007
GRMZM2G016890	glu1	beta glucosidase1	Classical Gene	Chr10	34,240,659	34,246,077
GRMZM2G008247	glu2	beta-glucosidase2	Classical Gene	Chr10	37,762,909	37,767,713
GRMZM2G452178	gn1	gnarley1	Classical Gene	Chr2	237,298,075	237,304,344
GRMZM2G080079	gol1	goliath1	Classical Gene	Chr4	182,134,219	182,136,764
GRMZM5G836910	got2	glutamate-oxaloacetate transaminase2	Classical Gene	Chr5	213,953,336	213,958,271
GRMZM2G337113	gpa1	glyceraldehyde-3-phosphate dehydrogenase1	Classical Gene	Chr2	42,886,006	42,888,042
GRMZM2G046804	gpc1	glyceraldehyde-3-phosphate dehydrogenase1	Classical Gene	Chr4	36,912,994	36,917,779
GRMZM2G180625	gpc2	glyceraldehyde-3-phosphate dehydrogenase2	Classical Gene	Chr6	6,901,483	6,906,034
GRMZM2G071630	gpc3	glyceraldehyde-3-phosphate dehydrogenase3	Classical Gene	Chr4	133,130,993	133,134,382
GRMZM2G102499	grf1	general regulatory factor1	Classical Gene	Chr2	41,931,698	41,935,612
GRMZM2G080603	grp1	glycine-rich protein1	Classical Gene	Chr1	178,503,667	178,505,233
GRMZM2G154954	grp3	glycine-rich protein3	Classical Gene	Chr5	31,464,367	31,465,552
GRMZM2G172322	gsr1	glutathione reductase1	Classical Gene	Chr1	12,985,602	12,991,971
GRMZM2G116273	gst1	glutathione-S-transferase1	Classical Gene	Chr8	172,671,226	172,674,089
GRMZM2G146246	gst4	glutathione S-transferase4	Classical Gene	Chr3	155,015,581	155,017,338
GRMZM5G898735	hcf106	high chlorophyll fluorescence106	Classical Gene	Chr2	65,813,104	65,819,647
GRMZM2G151529	hcf106c	high chlorophyll fluorescence106c	Classical Gene	Chr10	110,944,324	110,948,048
GRMZM2G136067	hda108	histone deacetylase	Classical Gene	Chr4	65,983,218	65,988,818
GRMZM2G117755	hir1	hypersensitive induced reaction1	Classical Gene	Chr4	74,484,144	74,488,082
GRMZM2G305046	his2a1	histone2A1	Classical Gene	Chr9	139,441,605	139,442,697
GRMZM2G071959	his2b1	histone2b1	Classical Gene	Chr7	119,943,268	119,944,091
GRMZM2G119071	his2b2	histone2b2	Classical Gene	Chr4	63,118,802	63,120,057
GRMZM5G881887	hm1	Helminthosporium carbonum susceptibility1	Classical Gene	Chr1	199,788,957	199,790,819
GRMZM2G086773	hm2	Helminthosporium carbonum susceptibility2	Classical Gene	Chr9	104,241,216	104,242,847
GRMZM5G834758	hmg1	high mobility group protein1	Classical Gene	Chr5	63,828,350	63,830,554
GRMZM2G085924	hsbp1	herbicide safener binding protein1	Classical Gene	Chr2	127,723,813	127,725,400
GRMZM5G844723	hsk1	high-sulfur keratin homolog1	Classical Gene	Chr9	129,484,814	129,489,588
GRMZM2G310431	hsp1	heat shock protein1	Classical Gene	Chr8	168,506,539	168,509,902
GRMZM2G360681	hsp101	heat-shock protein 101	Classical Gene	Chr6	160,816,570	160,820,239
GRMZM2G034157	hsp18c	heat shock protein18c	Classical Gene	Chr8	21,620,266	21,621,116
GRMZM2G083810	hsp18f	heat shock protein18f	Classical Gene	Chr3	8,887,555	8,888,747
GRMZM2G340251	hsp70-4	heat shock protein70-4	Classical Gene	Chr3	126,479,381	126,484,522
GRMZM2G304378	hyp1	hybrid proline-rich protein1	Classical Gene	Chr9	15,981,191	15,983,094
GRMZM2G110309	ibp2	initiator-binding protein2	Classical Gene	Chr1	40,356,719	40,362,217
GRMZM2G011357	id1	indeterminate growth1	Classical Gene	Chr1	239,667,869	239,671,192
GRMZM2G118250	ig1	indeterminate gametophyte1	Classical Gene	Chr3	169,260,970	169,264,296
GRMZM2G046191	igl1	indole-3-glycerol phosphate lyase1	Classical Gene	Chr1	288,331,936	288,337,173
GRMZM2G004583	ij1	iojap striping1	Classical Gene	Chr7	134,118,864	134,129,700
GRMZM2G017077	im30p1	IM30 protein homolog1	Classical Gene	Chr3	168,411,704	168,416,865
GRMZM2G042733	in1	intensifier1	Classical Gene	Chr7	19,360,149	19,366,043
GRMZM2G139300	incw1	cell wall invertase1	Classical Gene	Chr5	169,497,597	169,502,089
GRMZM2G123633	incw3	invertase cell wall3	Classical Gene	Chr10	114,308,530	114,310,922
GRMZM5G803874	isr1	inhibitor of striate1	Classical Gene	Chr10	138,512,812	138,515,509
GRMZM2G394450	ivr1	invertase1	Classical Gene	Chr2	23,504,839	23,509,410
GRMZM2G089836	ivr2	invertase2	Classical Gene	Chr5	67,537,393	67,540,691
GRMZM2G056400	kan1	KANADI1	Classical Gene	Chr1	215,657,189	215,662,587
GRMZM2G175827	kan3	kanadi3	Classical Gene	Chr4	80,099,618	80,112,468
GRMZM2G081666	kch3	potassium channel3	Classical Gene	Chr4	227,476,359	227,480,644
GRMZM2G163761	kip1	knotted interacting protein1	Classical Gene	Chr1	256,573,454	256,575,135
GRMZM2G017087	kn1	knotted1	Classical Gene	Chr1	271,407,490	271,415,210
GRMZM2G000743	knox3	knotted related homeobox3	Classical Gene	Chr1	271,693,702	271,695,058
GRMZM2G011789	lec1	LEC1 transcription factor1	Classical Gene	Chr5	204,386,830	204,388,007
AC234157.1_FG002	lem1	lethal embryo mutant1	Classical Gene	Chr1	281,175,269	281,177,006
GRMZM2G044074	les22	lesion22	Classical Gene	Chr1	56,560,198	56,564,777
GRMZM2G036297	lg1	liguleless1	Classical Gene	Chr2	4,265,163	4,268,840
GRMZM2G060216	lg2	liguleless2	Classical Gene	Chr3	176,845,304	176,853,978
GRMZM2G087741	lg3	liguleless3	Classical Gene	Chr3	53,883,227	53,893,066
GRMZM2G094241	lg4	liguleless4	Classical Gene	Chr8	130,383,323	130,388,890
GRMZM2G351977	lhcb1	light harvesting chlorophyll a/b binding protein1	Classical Gene	Chr8	141,176,051	141,177,936
AC207722.2_FG009	lhcb2	light harvesting chlorophyll a/b binding protein2	Classical Gene	Chr7	147,094,052	147,095,217
GRMZM2G155216	lhcb3	light harvesting chlorophyll a/b binding protein3	Classical Gene	Chr8	70,312,571	70,314,733
GRMZM2G402936	lhcb7	light harvesting complex mesophyll7	Classical Gene	Chr6	165,101,052	165,102,377
GRMZM2G181362	lkrsdh1	lysine-ketoglutarate reductase/saccharopine dehydrogenase1	Classical Gene	Chr4	175,769,672	175,780,762
GRMZM2G339563	lls1	lethal leaf spot1	Classical Gene	Chr1	10,090,835	10,095,173
GRMZM2G156861	lox1	lipoxygenase1	Classical Gene	Chr3	168,738,873	168,882,335
GRMZM2G109130	lox3	lipoxygenase3	Classical Gene	Chr1	264,266,381	264,271,190
GRMZM2G155242	lpa1	low phytic acid1	Classical Gene	Chr1	25,282,951	25,287,161
GRMZM2G456626	lpa2	low phytic acid2	Classical Gene	Chr1	101,838,959	101,841,220
GRMZM2G012966	lyce1	lycopene epsilon cyclase1	Classical Gene	Chr8	138,416,903	138,424,121
GRMZM2G171365	mads1	MADS1	Classical Gene	Chr9	154,082,657	154,102,449
GRMZM2G101480	mbf1	multi-protein bridging factor homolog1	Classical Gene	Chr4	24,639,257	24,642,130
GRMZM2G154595	mdh2	malate dehydrogenase2	Classical Gene	Chr6	165,831,537	165,836,297
GRMZM2G415359	mdh4	malate dehydrogenase4	Classical Gene	Chr1	231,398,148	231,403,913
GRMZM2G085019	me3	NADP malic enzyme3	Classical Gene	Chr3	7,276,387	7,281,737
GRMZM2G354335	meg1	maternally expressed gene1	Classical Gene	Chr7	13,073,446	13,074,744
GRMZM2G333916	met1	DNA methyl transferase1	Classical Gene	Chr7	11,133,095	11,139,492
GRMZM2G157820	mez1	enhancer of zeste1	Classical Gene	Chr6	79,622,840	79,633,054
GRMZM2G317406	mgs1	male-gametophyte specific1	Classical Gene	Chr10	111,861,870	111,862,808
GRMZM2G019404	mha2	plasma-membrane H+ATPase2	Classical Gene	Chr2	4,305,357	4,312,971
GRMZM2G150276	mir1	maize insect resistance1	Classical Gene	Chr6	89,072,247	89,074,183
GRMZM2G096475	mlg3	lea protein group3	Classical Gene	Chr6	162,162,303	162,163,681
GRMZM2G119689	mn1	miniature seed1	Classical Gene	Chr2	57,435,843	57,439,124
GRMZM2G042443	mop1	mediator of paramutation1	Classical Gene	Chr2	41,131,324	41,136,928
GRMZM2G111306	mrp1	Myb related protein1	Classical Gene	Chr8	127,960,823	127,962,081
GRMZM2G111903	mrpa3	multidrug resistance-associated protein3	Classical Gene	Chr9	17,746,515	17,758,407
GRMZM2G091822	ms26	male sterile26	Classical Gene	Chr1	14,505,716	14,508,042
GRMZM2G307906	ms45	male sterile45	Classical Gene	Chr9	141,198,898	141,203,399
GRMZM2G090422	mta1	ribosomal protein L13A homolog	Classical Gene	Chr1	277,805,915	277,807,951
GRMZM2G082264	mwp1	milkweed pod1	Classical Gene	Chr7	107,261,176	107,267,803
AC203535.4_FG001	myb2	myb transcription factor2	Classical Gene	Chr3	157,551,793	157,560,623
GRMZM2G087817	mybr6	MYB-related-transcription factor 6	Classical Gene	Chr3	221,663,066	221,667,898
GRMZM2G015605	nac1	NaCl stress protein1	Classical Gene	Chr10	87,283,919	87,284,844
GRMZM2G011129	nbp1	nucleic acid binding protein1	Classical Gene	Chr7	46,493,910	46,497,427
GRMZM2G134797	ndk1	nucleotide diphosphate kinase1	Classical Gene	Chr7	149,952,414	149,954,818
GRMZM2G568636	nnr1	nitrate reductase(NADH)1	Classical Gene	Chr4	56,335,735	56,340,792
GRMZM2G069028	ns1	narrow sheath1	Classical Gene	Chr2	143,166,134	143,168,172
GRMZM2G015534	o2	opaque endosperm2	Classical Gene	Chr7	10,798,507	10,801,399
GRMZM2G026643	ocl1	outer cell layer1	Classical Gene	Chr3	27,552,061	27,559,751
AC235534.1_FG007	ocl2	outer cell layer2	Classical Gene	Chr10	136,957,427	136,964,001
GRMZM2G116658	ocl3	outer cell layer3	Classical Gene	Chr7	141,712,281	141,718,468
GRMZM2G123140	ocl4	outer cell layer4	Classical Gene	Chr1	100,912,576	100,918,541
GRMZM2G130442	ocl5a	outer cell layer5a	Classical Gene	Chr4	29,008,617	29,014,800
GRMZM2G016150	ohp1	opaque2 heterodimerizing protein1	Classical Gene	Chr1	288,278,441	288,283,216
GRMZM2G007063	ohp2	opaque2 heterodimerizing protein2	Classical Gene	Chr5	4,253,958	4,257,719
GRMZM2G337229	ole1	oleosin1	Classical Gene	Chr2	21,389,641	21,391,610
AC206941.2_FG002	ole3	oleosin3	Classical Gene	Chr5	12,302,727	12,303,287
GRMZM2G169593	orp1	orange pericarp1	Classical Gene	Chr4	35,950,109	35,954,045
GRMZM2G005024	orp2	orange pericarp2	Classical Gene	Chr10	84,247,242	84,250,053
GRMZM2G419806	oy1	oil yellow1	Classical Gene	Chr10	9,225,307	9,229,786
GRMZM2G084799	p1	pericarp color1	Classical Gene	Chr1	48,118,788	48,129,338
GRMZM2G057027	p2	pericarp color2	Classical Gene	Chr1	48,096,443	48,101,954
GRMZM2G058292	pac1	pale aleurone color1	Classical Gene	Chr5	196,661,199	196,666,224
GRMZM2G074604	pal1	phenylalanine ammonia lyase homolog1	Classical Gene	Chr5	186,727,239	186,730,980
GRMZM2G030523	pcna1	proliferating cell nuclear antigen1	Classical Gene	Chr5	214,473,508	214,475,861
GRMZM2G038821	pdc2	pyruvate decarboxylase2	Classical Gene	Chr8	15,550,758	15,554,318
GRMZM2G087186	pdc3	pyruvate decarboxylase3	Classical Gene	Chr1	45,517,324	45,520,500
GRMZM2G091481	pdi1	protein disulfide isomerase1	Classical Gene	Chr4	14,877,067	14,881,858
GRMZM2G092008	pebp1	phosphatidylethanolamine-binding protein1	Classical Gene	Chr3	231,199,114	231,200,263
GRMZM2G152689	pebp10	phosphatidylethanolamine-binding protein10	Classical Gene	Chr3	28,400,356	28,402,122
GRMZM2G117057	pebp11	phosphatidylethanolamine-binding protein11	Classical Gene	Chr6	121,720,043	121,721,582
GRMZM2G103666	pebp12	phosphatidylethanolamine-binding protein12	Classical Gene	Chr3	197,706,353	197,708,239
GRMZM2G108016	pebp13	phosphatidylethanolamine-binding protein13	Classical Gene	Chr5	150,036,613	150,037,929
GRMZM2G373928	pebp14	phosphatidylethanolamine-binding protein	Classical Gene	Chr8	25,338,663	25,347,919
GRMZM2G051338	pebp15	phosphatidylethanolamine-binding protein15	Classical Gene	Chr6	76,400,211	76,402,023
GRMZM2G127121	pebp16	phosphatidylethanolamine-binding protein16	Classical Gene	Chr5	181,990,493	181,993,244
GRMZM2G075215	pebp17	phosphatidylethanolamine-binding protein17	Classical Gene	Chr2	120,292,154	120,293,853
GRMZM2G158809	pebp18	phosphatidylethanolamine-binding protein18	Classical Gene	Chr2	193,839,589	193,845,094
GRMZM2G062052	pebp19	phosphatidylethanolamine-binding protein	Classical Gene	Chr10	126,937,360	126,941,217
GRMZM2G156079	pebp2	phosphatidylethanolamine-binding protein2	Classical Gene	Chr4	106,696,523	106,697,982
AC214791.2_FG002	pebp20	phosphatidylethanolamine-binding protein20	Classical Gene	Chr10	36,388,693	36,389,588
GRMZM2G338454	pebp3	phosphatidylethanolamine-binding protein3	Classical Gene	Chr10	5,465,315	5,465,881
GRMZM2G075081	pebp4	phosphatidylethanolamine-binding protein4	Classical Gene	Chr2	58,373,992	58,376,007
AC217051.3_FG006	pebp5	phosphatidylethanolamine-binding protein	Classical Gene	Chr10	114,050,161	114,051,244
GRMZM2G132880	pebp6	phosphatidylethanolamine-binding protein6	Classical Gene	Chr4	188,561,914	188,563,106
GRMZM2G141756	pebp7	phosphatidylethanolamine-binding protein7	Classical Gene	Chr6	159,399,177	159,400,713
GRMZM2G179264	pebp8	phosphatidylethanolamine-binding protein8	Classical Gene	Chr8	123,030,387	123,032,175
GRMZM2G021614	pebp9	phosphatidylethanolamine-binding protein9	Classical Gene	Chr8	8,472,799	8,475,229
GRMZM2G083841	pep1	phosphoenolpyruvate carboxylase1	Classical Gene	Chr9	62,306,266	62,311,673
GRMZM2G473001	pep4	phosphoenolpyruvate carboxylase4	Classical Gene	Chr7	86,459,173	86,464,913
GRMZM5G841015	pex1	pollen extensin-like1	Classical Gene	Chr2	231,055,349	231,059,232
GRMZM2G145715	pgd2	6-phosphogluconate dehydrogenase2	Classical Gene	Chr3	153,964,271	153,968,156
GRMZM2G320175	pgl2	polygalacturonase2	Classical Gene	Chr6	99,582,016	99,584,295
GRMZM2G394259	pgl8	exopolygalacturonase8	Classical Gene	Chr6	99,529,941	99,532,218
GRMZM2G001457	phot1	blue-light receptor phototropin 1	Classical Gene	Chr3	229,220,592	229,241,592
GRMZM2G157727	phyA1	phytochromeA1	Classical Gene	Chr1	269,388,274	269,395,277
GRMZM2G124532	phyB1	phytochromeB1	Classical Gene	Chr1	50,023,180	50,034,523
GRMZM2G092174	phyB2	phytochromeB2	Classical Gene	Chr9	135,245,567	135,251,882
GRMZM2G057935	phyC1	phytochromeC1	Classical Gene	Chr1	277,059,620	277,064,623
GRMZM2G129889	phyC2	phytochromeC2	Classical Gene	Chr5	7,129,937	7,134,953
